Date,Age.day,Set,Stimulus,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,Con1,Con2,Con3,Con4,Con5,Con6,Con7,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8
20180617,5,17,M+T,C112,1,18,34,18.57,1,0,5,5,4,5,32,32,33,32.33,5,2,All H,5,1,1,0.5,22,66,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
20180624,5,23,M+T,C180,1,15,27,15.45,0,0,1,7,7,7,29,29,29,29,4,2,All H,4,0.571428571,0.57,0.29,5,34,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180624,5,24,M+T,C172,1,15,45,15.75,0,0,2,8,5,8,30,31,31,30.67,3,1,All H,3,0.375,0.38,0.2,58,190,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA
20180624,5,26,M+T,C184,2,17,38,17.63,0,0,2,8,5,8,29,29,30,29.33,5,1,All H,5,0.625,0.63,0.2,50,63,77,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
20180624,5,25,M+T,C169,1,16,46,16.77,0,0,0,10,5,10,31,31,31,31,4,2,All H,4,0.4,0.4,0.4,11,47,61,95,NA,NA,NA,52,72,NA,NA,NA,NA,NA,NA
20180624,5,27,M+T,C189,2,18,36,18.6,2,0,0,8,5,8,30,30,30,30,7,2,All H,7,0.875,0.88,0.4,44,75,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
20180624,5,28,M+T,C175,1,20,10,20.17,4,0,5,5,1,5,31,32,32,31.67,2,0,All H,2,0.4,0.4,0,45,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180624,5,29,M+T,C191,1,17,32,17.53,1,0,1,9,4,9,31,32,32,31.67,5,3,All H,5,0.555555556,0.56,0.75,14,25,35,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
20180625,5,30,M+T,C190,1,18,26,18.43,0,0,1,9,5,9,32,31,31,31.33,4,1,All H,4,0.444444444,0.44,0.2,23,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,5,31,M+T,C218,3,17,34,17.57,0,0,5,6,4,6,32,31,32,31.67,3,1,All H,3,0.5,0.5,0.25,99,123,186,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
